umpire,nationality
Sundaram_Ravi,India
Kumar_Dharmasena,Sri_Lanka
Chettithody_Shamshuddin,India
Chettithody_Shamshuddin,India
Marais_Erasmus,South_Africa
Simon_Taufel,Australia
Asad_Rauf,Pakistan
C._K._Nandan,India
Billy_Doctrove,West_Indies
Vineet_Kulkarni,India
Rudi_Koertzen,South_Africa
Rod_Tucker,Australia
Billy_Bowden,New_Zealand
Aleem_Dar,Pakistan
Bruce_Oxenford,Australia
Nitin_Menon,India
Sudhir_Asnani,India
Shavir_Tarapore,India
Nigel_Llong,England
Russell_Tiffin,Zimbabwe
Chris_Gaffaney,New_Zealand
Daryl_Harper,Australia
Amiesh_Saheba,India
Krishna_Hariharan,India
Nand_Kishore,India
Richard_Illingworth,England
K._N._Ananthapadmanabhan,India
Brian_Jerling,South_Africa
Johan_Cloete,South_Africa
Anil_Dandekar,India
Sanjay_Hazare,India
Virender_Sharma,India
Subrat_Das,India
Krishnaraj_Srinath,India
Ian_Howell,South_Africa
Suresh_Shastri,India
Mark_Benson,England
Abhijit_Deshmukh,India
Paul_Reiffel,Australia
Yeshwant_Barde,India
Rajesh_Deshpande,India
Pashchim_Pathak,India
Gary_Baxter,New_Zealand
Steve_Davis,Australia
Arani_Jayaprakash,India
Simon_Fry,Australia
Tony_Hill,New_Zealand
G._A._Pratapkumar,India
Ivaturi_Shivram,India
Tyron_Wijewardene,Sri_Lanka
Krishnamachari_Bharatan,India
Krishnamachari_Srinivasan,India
Ulhas_Gandhe,India
Shashank_Ranade,India
Subroto_Das,India
Ian_Gould,England
